GUID,Start Day and Time,End Day and Time,Header,Title,Description
75,3/16/2016 14:55,3/16/2016 15:55,Afternoon,CLINICAL WORKSHOPS VII,addContent
76,3/16/2016 16:00,3/16/2016 17:00,Afternoon,CLINICAL WORKSHOPS VIII,addContent
77,3/17/2016 7:00,3/17/2016 7:55,Morning,Registration: Ballroom Foyer,Continental Breakfast
78,3/17/2016 7:55,3/17/2016 8:00,Morning,Welcome and Orientation,
79,3/17/2016 8:00,3/17/2016 8:40,Infertility - Moderator: Dr. Hornstein,"The Basic Infertility Work-up: Who, When and How","Rachel Ashby, MD"
80,3/17/2016 8:40,3/17/2016 8:50,Infertility - Moderator: Dr. Hornstein,Questions and Discussion,
81,3/17/2016 8:50,3/17/2016 9:30,Infertility - Moderator: Dr. Hornstein,A Current Approach to Ovulation Induction,"Elizabeth Ginsburg, MD"
82,3/17/2016 9:30,3/17/2016 9:40,Infertility - Moderator: Dr. Hornstein,Questions and Discussion,
83,3/17/2016 9:40,3/17/2016 10:00,Infertility - Moderator: Dr. Hornstein,Coffee Break,
84,3/17/2016 10:00,3/17/2016 10:40,Infertility - Moderator: Dr. Hornstein,The Role of IVF in Contemporary Practice,"Janis Fox, MD"
85,3/17/2016 10:40,3/17/2016 10:50,Infertility - Moderator: Dr. Hornstein,Questions and Discussion,
86,3/17/2016 10:50,3/17/2016 11:30,Infertility - Moderator: Dr. Hornstein,Evaluation and Treatment of Recurrent Pregnancy Loss,"Zev Williams, MD "
87,3/17/2016 11:30,3/17/2016 11:40,Infertility - Moderator: Dr. Hornstein,Questions and Discussion,
88,3/17/2016 11:40,3/17/2016 13:00,Infertility - Moderator: Dr. Hornstein,Lunch Break,
89,3/17/2016 13:00,3/17/2016 13:40,Reproductive Endocrinology - Moderator: Dr. Hornstein,Hyperandrogenism/Polycystic Ovary Syndrome Evaluation and Treatment,"Robert Barbieri, MD"
90,3/17/2016 13:40,3/17/2016 13:50,Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
91,3/17/2016 13:50,3/17/2016 14:30,Reproductive Endocrinology - Moderator: Dr. Hornstein,Congenital Anomalies of the Reproductive Tract,"Marc Laufer, MD"
92,3/17/2016 14:30,3/17/2016 14:40,Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
93,3/17/2016 14:40,3/17/2016 14:55,Reproductive Endocrinology - Moderator: Dr. Hornstein,Coffee Break,
94,3/17/2016 14:55,3/17/2016 15:55,Reproductive Endocrinology - Moderator: Dr. Hornstein,CLINICAL WORKSHOPS X,addContent
95,3/17/2016 16:05,3/17/2016 17:05,Reproductive Endocrinology - Moderator: Dr. Hornstein,CLINICAL WORKSHOPS XI,addContent
96,3/18/2016 7:00,3/18/2016 7:55,Morning,Breakfast with the Faculty,
97,3/18/2016 7:55,3/18/2016 8:00,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Welcome,
98,3/18/2016 8:00,3/18/2016 8:40,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Options for the Management of Menopausal Symptoms,"Jan Shifren, MD"
99,3/18/2016 8:40,3/18/2016 8:50,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
100,3/18/2016 8:50,3/18/2016 9:30,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Menopausal Hormone Therapy: What are the Risks?,"Kathryn Martin, MD"
101,3/18/2016 9:30,3/18/2016 9:40,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
102,3/18/2016 9:40,3/18/2016 10:00,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Coffee Break,
103,3/18/2016 10:00,3/18/2016 10:40,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Osteoporosis,"Robert Barbieri, MD"
104,3/18/2016 10:40,3/18/2016 10:50,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
105,3/18/2016 10:50,3/18/2016 11:30,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Treating Endometriosis - Associated Pelvic Pain,"Mark Hornstein, MD"
106,3/18/2016 11:30,3/18/2016 11:40,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
107,3/18/2016 11:40,3/18/2016 12:20,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Abnormal Uterine Bleeding,"Antonio Gargiulo, MD"
108,3/18/2016 12:20,3/18/2016 12:30,Menopause and Reproductive Endocrinology - Moderator: Dr. Hornstein,Questions and Discussion,
